;BP;Status;Batch;Date;Model;Change;Operation;Part number;Chinese Part Name;English Part Name;Workshop;Comments
597;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
598;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
599;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
600;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
601;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
602;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
603;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
604;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
605;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6102540XKJ20A;右前门内水切总成;BELT WEATHERSTRIP ASSY,RH FR DOOR,INR;AS;
606;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;6102540XKJ20A;右前门内水切总成;BELT WEATHERSTRIP ASSY,RH FR DOOR,INR;AS;
607;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6102104XKJ20A;右前门防水膜;WATERPROOF FILM,RH FR DOOR;AS;
608;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;6102104XKJ20A;右前门防水膜;WATERPROOF FILM,RH FR DOOR;AS;
609;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
610;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
611;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
612;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
613;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
614;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
615;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
616;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
617;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6202540XKJ20A;右后门内水切总成;BELT WEATHERSTRIP ASSY,RH RR DOOR,INR;AS;
618;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;6202540XKJ20A;右后门内水切总成;BELT WEATHERSTRIP ASSY,RH RR DOOR,INR;AS;
619;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6202104XKJ20A;右后门防水膜;WATERPROOF FILM,RH RR DOOR;AS;
620;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;6202104XKJ20A;右后门防水膜;WATERPROOF FILM,RH RR DOOR;AS;
621;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6105175XKJ20A8P;左前门内拉手堵盖;PLUG,LH FR DOOR INR GRAB HANDLE;AS;
622;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6202210XKJ20A8P;左后门内三角板总成;TRIANGLE ASSY,LH RR DOOR,INR;AS;
623;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6302100XKJ20A8P;后背门下饰板总成;PANEL ASSY,TAIL GATE TRIM,LWR;AS;
624;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6302300XKJ20A8P;后背门下饰板总成;PANEL ASSY,TAIL GATE TRIM,LWR;AS;
625;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6105176XKJ20A8P;右前门内拉手堵盖;PLUG,RH FR DOOR INR GRAB HANDLE;AS;
626;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6102210XKJ20A8P;左前门内三角板总成;TRIANGLE ASSY,LH FR DOOR,INR;AS;
627;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6202220XKJ20A8P;右后门内三角板总成;TRIANGLE ASSY,RH RR DOOR,INR;AS;
628;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6302311XKU52A8P;后背门内拉手总成;GRAB HANDLE ASSY,TAIL GATE,INR;AS;
629;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6302312XKU52A8P;后背门内拉手螺栓堵盖;PLUG,TAILGATE INR GRAB HANDLE BOLT;AS;
630;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6105176XKJ20A8P;右前门内拉手堵盖;PLUG,RH FR DOOR INR GRAB HANDLE;AS;
631;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6105175XKJ20A8P;左前门内拉手堵盖;PLUG,LH FR DOOR INR GRAB HANDLE;AS;
632;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6302200XKJ20A8P;后背门上饰板总成;PANEL ASSY,TAILGATE TRIM,UPR;AS;
633;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6102220XKJ20A8P;右前门内三角板总成;TRIANGLE ASSY,RH FR DOOR,INR;AS;
634;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6202210XKJ20A8P;左后门内三角板总成;TRIANGLE ASSY,LH RR DOOR,INR;AS;
635;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6105175XKJ20A8P;左前门内拉手堵盖;PLUG,LH FR DOOR INR GRAB HANDLE;AS;
636;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6105175XKJ20A8P;左前门内拉手堵盖;PLUG,LH FR DOOR INR GRAB HANDLE;AS;
637;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6102210XKJ20A8P;左前门内三角板总成;TRIANGLE ASSY,LH FR DOOR,INR;AS;
638;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6105176XKJ20A8P;右前门内拉手堵盖;PLUG,RH FR DOOR INR GRAB HANDLE;AS;
639;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6102220XKJ20A8P;右前门内三角板总成;TRIANGLE ASSY,RH FR DOOR,INR;AS;
640;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6302312XKU52A8P;后背门内拉手螺栓堵盖;PLUG,TAILGATE INR GRAB HANDLE BOLT;AS;
641;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6302311XKU52A8P;后背门内拉手总成;GRAB HANDLE ASSY,TAIL GATE,INR;AS;
642;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6302200XKJ20A8P;后背门上饰板总成;PANEL ASSY,TAILGATE TRIM,UPR;AS;
643;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6302100XKJ20A8P;后背门下饰板总成;PANEL ASSY,TAIL GATE TRIM,LWR;AS;
644;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6202220XKJ20A8P;右后门内三角板总成;TRIANGLE ASSY,RH RR DOOR,INR;AS;
645;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;6105176XKJ20A8P;右前门内拉手堵盖;PLUG,RH FR DOOR INR GRAB HANDLE;AS;
646;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6309300XKJ20A;后背门左助力撑杆安装支架总成;BRKT ASSY,POWER-ASSISTED BRACE MTG,LH;AS;
647;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q1840820FDHSE;六角法兰面螺栓;HEX FLANGE BOLT;AS;
648;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6309400XKJ20A;后背门右助力撑杆安装支架总成;BRKT ASSY,POWER-ASSISTED BRACE MTG,RH;AS;
649;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6309100XKJ20A;后背门左气动撑杆总成;STAY ASSY,TAIL GATE PNEUMATIC,LH;AS;
650;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6309200XKJ20A;后背门右气动撑杆总成;STAY ASSY,TAIL GATE PNEUMATIC,RH;AS;
651;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6305703AKY28A;球头螺栓;BALL BOLT;AS;
652;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6305100XNZ01A;后背门锁体总成;LOCK ASSY,TAIL GATE;AS;
653;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;3565101XKN19A;车辆稳定系统控制单元;CONTROL UNIT,ESP;AS;
654;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;S017A01XKN19002;车辆稳定系统软件;SOFTWARE,ESP CONTROL;AS;
655;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;3565108XGW01A;车辆稳定系统控制单元;CONTROL UNIT,ESP;AS;
656;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;3565108XGW01A;车辆稳定系统控制单元;CONTROL UNIT,ESP;AS;
657;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;S017A01XKJ20004;车辆稳定系统软件;SOFTWARE,ESP CONTROL;AS;
658;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;S017A01XKJ20004;车辆稳定系统软件;SOFTWARE,ESP CONTROL;AS;
659;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;4013806XKJ20A;后背门线束总成;HARN ASSY,TAIL GATE;AS;
660;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;4013106XKJ20A;后背门过渡线束总成;PASS HARN ASSY,TAIL GATE;AS;
661;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;4004101XKJ23A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS;
662;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;4004100XKJ23A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS;
663;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;4013104XKJ20A;后背门过渡线束总成;PASS HARN ASSY,TAIL GATE;AS;
664;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;4013104XKJ20A;后背门过渡线束总成;PASS HARN ASSY,TAIL GATE;AS;
665;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;4013805XKJ20A;后背门线束总成;HARN ASSY,TAIL GATE;AS;
666;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;4013805XKJ20A;后背门线束总成;HARN ASSY,TAIL GATE;AS;
667;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q1860612FDE;六角法兰面螺栓-加大系列;HEX FLANGE BOLT-HEAVY;AS;
668;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q1860612FDE;六角法兰面螺栓-加大系列;HEX FLANGE BOLT-HEAVY;AS;
669;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ220004A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
670;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ230008A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
671;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ230009A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
672;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ220005A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
673;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ220006A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
674;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ230007A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
675;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ230010A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
676;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ220003A8P;副仪表板控制面板分装总成;CONTROL PANEL SUB-ASSY,CONSOLE;AS;
677;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ220001A8P;副仪表板控制面板分装总成;CONTROL PANEL SUB-ASSY,CONSOLE;AS;
678;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ220002A8P;副仪表板控制面板分装总成;CONTROL PANEL SUB-ASSY,CONSOLE;AS;
679;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ230008A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
680;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ220005A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
681;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ230007A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
682;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ220004A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
683;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ230011A8P;副仪表板控制面板分装总成;CONTROL PANEL SUB-ASSY,CONSOLE;AS;
684;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;5305KJ220006A8P;副仪表板本体分装总成;CONSOLE SUB-ASSY;AS;
685;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ220003A8P;副仪表板控制面板分装总成;CONTROL PANEL SUB-ASSY,CONSOLE;AS;
686;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ220002A8P;副仪表板控制面板分装总成;CONTROL PANEL SUB-ASSY,CONSOLE;AS;
687;BP25002911;;RLV0169;2025-07-01;A08-R;;Delete;5305KJ220001A8P;副仪表板控制面板分装总成;CONTROL PANEL SUB-ASSY,CONSOLE;AS;
688;BP25003305;;RHB1622;2025-08-01;B06-R;;Add;5604100XKN04D;随车工具左侧托板;CARRIER,VEHICLE TOOLS,LH;AS;
689;BP25003305;;RHB1622;2025-08-01;B06-R;;Add;5604101XKN04B;随车工具右侧托板;CARRIER,VEHICLE TOOLS,RH;AS;
690;BP25003305;;RHB1622;2025-08-01;B06-R;;Delete;5604100XKN04C;随车工具左侧托板;CARRIER,VEHICLE TOOLS,LH;AS;
691;BP25003305;;RHB1622;2025-08-01;B06-R;;Delete;5604101XKN04A;随车工具右侧托板;CARRIER,VEHICLE TOOLS,RH;AS;
692;BP25004253;;RHB1622;2025-08-01;B06-R;Before change;;09170043;凸焊螺栓;WELDING BOLT;SW;
693;BP25004253;;RHB1622;2025-08-01;B06-R;After Change;;09170071;凸焊螺栓;WELDING BOLT;SW;
694;BP25004253;;RHB1622;2025-08-01;B06-R;Before change;;09170043;凸焊螺栓;WELDING BOLT;SW;
695;BP25004253;;RHB1622;2025-08-01;B06-R;After Change;;09170071;凸焊螺栓;WELDING BOLT;SW;
696;BP25004456;;RHB1622;2025-08-01;B06-R;;Add;4134100XKN04A8P;高位制动灯总成;STOP LIGHT ASSY,HIGH MOUNTED;AS;
697;BP25004517;;RAR0993;2025-08-01;A01G-R-2;;Delete;Q32008F70E;六角法兰面螺母;HEX FLANGE NUT;AS;
698;BP25004517;;RAR0993;2025-08-01;A01G-R-2;;Add;Q1860612FDE;六角法兰面螺栓-加大系列;HEX FLANGE BOLT-HEAVY;AS;
699;BP25004517;;RAR0993;2025-08-01;A01G-R-2;;Update;Q1860612FDE;六角法兰面螺栓-加大系列;HEX FLANGE BOLT-HEAVY;AS;
700;BP25004517;;RAR0993;2025-08-01;A01G-R-2;;Delete;Q1460616FDE;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
701;BP25004517;;RAR0993;2025-08-01;A01G-R-2;;Add;Q1840816FDE;六角法兰面螺栓;HEX FLANGE BOLT;AS;
702;BP25004676;;RBH0070;2025-08-01;B16-R;;Delete;5173102XGW01A;车身左下护板总成;GUARD BOARD ASSY,BODY,LWR LH;AS;
703;BP25004676;;RBH0070;2025-08-01;B16-R;;Delete;5174104XGW01A;前保险杠下导流板总成;DEFLECTOR ASSY,FR BUMPER,LWR;AS;
704;BP25004676;;RBH0070;2025-08-01;B16-R;;Add;5174104XGW01E;前保险杠下导流板总成;DEFLECTOR ASSY,FR BUMPER,LWR;AS;
705;BP25004676;;RBH0070;2025-08-01;B16-R;;Add;5173102XGW01B;车身左下护板总成;GUARD BOARD ASSY,BODY,LWR LH;AS;
706;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;09630018;塑料卡扣;PLASTIC CLIP;AS;
707;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402167XST01A;海绵条;SPONGE STRIP;AS;
708;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402166XST01A;海绵条;SPONGE STRIP;AS;
709;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402165XST01A;海绵条;SPONGE STRIP;AS;
710;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402163XST01A;左C柱饰板吸音棉;SOUND ABSORBER,LH C PLR TRIM PANEL;COMP ;
711;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;09630018;塑料卡扣;PLASTIC CLIP;AS;
712;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402167XST01A;海绵条;SPONGE STRIP;AS;
713;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402166XST01A;海绵条;SPONGE STRIP;AS;
714;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402165XST01A;海绵条;SPONGE STRIP;AS;
715;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402163XST01A;左C柱饰板吸音棉;SOUND ABSORBER,LH C PLR TRIM PANEL;COMP;
716;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402467XKU62A;无纺布;NONWOVEN;AS;
717;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402467XKU62A;无纺布;NONWOVEN;AS;
718;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402109XST33AF4;右C柱饰板总成;PANEL ASSY,RH C PILLAR TRIM;COMP;
719;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402109XST33AF4;右C柱饰板总成;PANEL ASSY,RH C PILLAR TRIM;COMP;
720;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402162XST33AF4;右C柱饰板;PANEL,RH C PILLAR TRIM;COMP;
721;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402162XST33AF4;右C柱饰板;PANEL,RH C PILLAR TRIM;COMP;
722;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402161XST33AF4;左C柱饰板;PANEL,LH C PILLAR TRIM;COMP;
723;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402161XST33AF4;左C柱饰板;PANEL,LH C PILLAR TRIM;COMP;
724;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402108XST33AF4;左C柱饰板总成;PANEL ASSY,LH C PILLAR TRIM;COMP;
725;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Add;5402108XST33AF4;左C柱饰板总成;PANEL ASSY,LH C PILLAR TRIM;COMP;
726;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Delete;5402108XST01AF4;左C柱饰板总成;PANEL ASSY,LH C PILLAR TRIM;COMP;
727;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Delete;5402109XST01AF4;右C柱饰板总成;PANEL ASSY,RH C PILLAR TRIM;COMP;
728;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Delete;5402109XST01AF4;右C柱饰板总成;PANEL ASSY,RH C PILLAR TRIM;COMP;
729;BP25000009;;RAP0940;2025-07-03;A01G-R-1;;Delete;5402108XST01AF4;左C柱饰板总成;PANEL ASSY,LH C PILLAR TRIM;COMP;
730;BP25001186;;RBH0042;2025-06-16;B16-R;;Add;7000107XKN81AC0F;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;Будет заходить с партией RBH0044
731;BP25001186;;RBH0042;2025-06-16;B16-R;;Delete;7000103XKN81AC0F;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;Будет заходить с партией RBH0044
732;BP25001188;;RBH0042;2025-06-16;B16-R;;Add;7000105XKN81AC0F;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
733;BP25001188;;RBH0042;2025-06-16;B16-R;;Delete;7000101XKN81AC0F;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
734;BP25002344;;;;B06-R-1;;Add;ALAC013836;油液-自动变速器油;;AS;data takes effect
735;BP25002344;;;;B06-R-1;;Add;ALAC013461;油液-冷却液;Coolant — 45;AS;data takes effect
736;BP25002344;;;;B06-R-1;Before change;;ALAC013503;油液-齿轮油;AUTOMATIC TRANSMISSION FLUID;AS;data takes effect
737;BP25002344;;;;B06-R-1;After Change;;ALAC013503;油液-齿轮油;AUTOMATIC TRANSMISSION FLUID;AS;data takes effect
738;BP25002344;;;;B06-R-1;Before change;;ALAC012335;风窗玻璃清洗液;WINDSCREEN WASHER FLUID;AS;data takes effect
739;BP25002344;;;;B06-R-1;After Change;;ALAC012335;风窗玻璃清洗液;WINDSCREEN WASHER FLUID;AS;data takes effect
740;BP25002344;;;;B06-R-1;Before change;;ALAC011971;风窗玻璃清洗液;WINDSCREEN WASHER FLUID;AS;data takes effect
741;BP25002344;;;;B06-R-1;After Change;;ALAC011971;风窗玻璃清洗液;WINDSCREEN WASHER FLUID;AS;data takes effect
742;BP25002344;;;;B06-R-1;Before change;;ALAC013461;油液-冷却液;Coolant — 45;AS;data takes effect
743;BP25002344;;;;B06-R-1;After Change;;ALAC013461;油液-冷却液;Coolant — 45;AS;data takes effect
744;BP25002531;;RBA0239;2025-08-01;B02-R;Before change;;S016A01XKN02005;电动助力转向系统软件;SOFTWARE,ELECTRIC POWER STEERING CONTROL;AS;
745;BP25002531;;RBA0239;2025-08-01;B02-R;After Change;;S016A01XKN02006;电动助力转向系统软件;SOFTWARE,ELECTRIC POWER STEERING CONTROL;AS;
746;BP25002549;;RBK0014;2025-07-22;B04-R;;Delete;Q1460620FDHE;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
747;BP25002549;;RBK0014;2025-07-22;B04-R;;Delete;Q1460620FDHE;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
748;BP25002549;;RBK0014;2025-07-22;B04-R;;Add;Q1460620F71E;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
749;BP25002549;;RBK0014;2025-07-22;B04-R;;Add;Q1460620F71E;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
750;BP25002933;;RBG0059;2025-07-29;B16-R;Before change;;C1480616FDHE;六角头螺栓、弹簧垫圈和大垫圈组合件;HEX HEAD SPRING&BIG WASHER BOLT;AS;
751;BP25002933;;RBG0059;2025-07-29;B16-R;After Change;;C1430620FDHE;六角头螺栓和大垫圈组合件;HEX HEAD BIG WASHER BOLT;AS;
752;BP25002937;;RBH0062;2025-08-01;B16-R;Before change;;8227102XKN04A;轮胎气压标贴;LABEL,TIRE PRESSURE;AS;
753;BP25002937;;RBH0062;2025-08-01;B16-R;After Change;;8227101XKN04A;轮胎气压标贴;LABEL,TIRE PRESSURE;AS;
754;BP25003139;;RBD0257;2025-08-01;B02-R;;Delete;Q32006F3E;六角法兰面螺母;HEX FLANGE NUT;AS;
755;BP25003139;;RBD0257;2025-08-01;B02-R;;Delete;09150001;搭铁螺栓;IRON PUTTING UP BOLT;AS;
756;BP25003139;;RBD0257;2025-08-01;B02-R;;Delete;09150001;搭铁螺栓;IRON PUTTING UP BOLT;AS;
757;BP25003139;;RBD0257;2025-08-01;B02-R;;Add;09150001;搭铁螺栓;IRON PUTTING UP BOLT;AS;
758;BP25003139;;RBD0257;2025-08-01;B02-R;;Add;09150001;搭铁螺栓;IRON PUTTING UP BOLT;AS;
759;BP25003140;;RBD0257;2025-08-01;B02-R;;Add;Q32006F3E;六角法兰面螺母;HEX FLANGE NUT;AS;
760;BP25003140;;RBD0257;2025-08-01;B02-R;;Add;Q32006F3E;六角法兰面螺母;HEX FLANGE NUT;AS;
761;BP25003149;;RBK0007;2025-05-14;B04-R;Before change;;S018A01XKN62001;智能座舱软件;SOFTWARE,INTELLIGENT PASSENGER CABIN;AS;
762;BP25003149;;RBK0007;2025-05-14;B04-R;After Change;;S018A01XKN62002;智能座舱软件;SOFTWARE,INTELLIGENT PASSENGER CABIN;AS;
763;BP25003541;;RAW0980;2025-07-23;A01G-R-1;;Add;S026A02XST33001;车载无线终端软件;SOFTWARE,T-BOX;AS;
764;BP25003609;;RBE0224;2025-07-24;B02-R;;Delete;S026A01XKN61003;车载无线终端软件;SOFTWARE,T-BOX;AS;
765;BP25003609;;RBE0224;2025-07-24;B02-R;;Add;S026A01AKN61002;车载无线终端软件;SOFTWARE,T-BOX;AS;
766;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Delete;6314KN620001AC3-R;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
767;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Delete;6314KN620001A8T-R;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
768;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Delete;6314KN620001AH4-R;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
769;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Delete;6314KN620001A9C-R;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
770;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Add;5506KN620001AK8T;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
771;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Add;5506KN620001AKC3;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
772;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Add;5506KN620001AK9C;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
773;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Add;5506KN620001AKH4;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
774;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Add;5506KN620001AK8T;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
775;BP25004203;;RBK0020;2025-08-01;B04-R, B04-R-1;;Add;5506KN620001AKC3;后背门外饰板分装总成;TRIM PANEL SUB-ASSY,TAIL GATE,OTR;AS;
